tweet_id,favorite_count,retweet_count
856543823941562368,17135,3131
856526610513747968,12446,2068
856330835276025856,0,731
856288084350160898,545,17
856282028240666624,29086,6841
855862651834028034,320,27
855860136149123072,4407,1058
855857698524602368,12498,2313
855851453814013952,47844,19196
855818117272018944,28056,5943
855459453768019968,31657,8987
855245323840757760,0,6568
855138241867124737,0,50
854732716440526848,24188,6690
854482394044301312,31131,7608
854365224396361728,20046,5159
854120357044912130,33911,8285
854010172552949760,17169,3433
853760880890318849,30414,6403
853639147608842240,37198,11265
853299958564483072,16508,3928
852936405516943360,0,2243
852912242202992640,9658,2037
852672615818899456,15939,2388
852553447878664193,17492,3885
852311364735569921,35325,10961
852226086759018497,21378,7570
852189679701164033,12217,1741
851953902622658560,0,10706
851861385021730816,0,23
851591660324737024,17300,3819
851464819735769094,25944,7855
851224888060895234,22090,6350
850753642995093505,33348,10352
850380195714523136,13994,2915
850333567704068097,3647,367
850145622816686080,17519,4244
850019790995546112,21944,5459
849776966551130114,32390,8404
849668094696017920,0,5513
849412302885593088,17039,3487
849336543269576704,12240,2101
849051919805034497,32617,7396
848690551926992896,27104,4826
848324959059550208,20229,4037
848213670039564288,8834,832
848212111729840128,17618,3444
847978865427394560,0,3652
847971574464610304,0,482
847962785489326080,25296,5730
847842811428974592,5935,1522
847617282490613760,7558,468
847606175596138505,20208,3774
847251039262605312,22036,4800
847157206088847362,21588,6572
847116187444137987,23108,3583
846874817362120707,21685,4404
846514051647705089,48410,13076
846505985330044928,15304,3492
846153765933735936,34394,10226
846139713627017216,33188,10972
846042936437604353,17256,3224
845812042753855489,31737,9894
845677943972139009,27154,5365
845459076796616705,0,15071
845397057150107648,8241,2072
845306882940190720,25225,6039
845098359547420673,0,8640
844979544864018432,14738,2909
844973813909606400,16361,3617
844704788403113984,42022,11633
844580511645339650,17871,3533
844223788422217728,14753,2450
843981021012017153,16327,3285
843856843873095681,23211,5220
843604394117681152,18310,3081
843235543001513987,23315,6852
842892208864923648,0,56625
842846295480000512,16440,4023
842765311967449089,7321,1439
842535590457499648,19637,3937
842163532590374912,26569,6568
842115215311396866,15204,3386
841833993020538882,0,17504
841680585030541313,27854,8748
841439858740625411,13755,4168
841320156043304961,21402,6080
841314665196081154,17305,5312
841077006473256960,24926,5991
840761248237133825,0,1972
840728873075638272,0,18285
840698636975636481,197,3
840696689258311684,13377,1116
840632337062862849,9761,1972
840370681858686976,17918,5146
840268004936019968,20950,6497
839990271299457024,14640,2597
839549326359670784,29957,8805
839290600511926273,0,158
839239871831150596,29684,7422
838952994649550848,21289,4505
838921590096166913,12183,2357
838916489579200512,0,38
838831947270979586,0,12643
838561493054533637,11892,1504
838476387338051585,24664,5484
838201503651401729,0,11525
838150277551247360,1824,370
838085839343206401,150,0
838083903487373313,19183,3582
837820167694528512,37277,8952
837482249356513284,4204,495
837471256429613056,13967,2631
837366284874571778,23074,6005
837110210464448512,17480,2731
837012587749474308,0,88
836989968035819520,13879,2610
836753516572119041,21029,5237
836677758902222849,13782,2522
836648853927522308,0,626
836397794269200385,0,31314
836380477523124226,16037,3337
836260088725786625,23177,4850
836001077879255040,20924,4935
835685285446955009,0,9327
835574547218894849,19447,4121
835536468978302976,0,1939
835309094223372289,0,24013
835297930240217089,17847,3381
835264098648616962,8503,1939
835246439529840640,2259,83
835172783151792128,28552,6516
835152434251116546,24574,3443
834931633769889797,11838,1878
834786237630337024,22943,6159
834574053763584002,14993,2882
834477809192075265,0,12224
834458053273591808,10512,1899
834209720923721728,22594,5476
834167344700198914,17194,4130
834089966724603904,10971,2427
834086379323871233,14296,2512
833863086058651648,14661,2729
833826103416520705,16728,3904
833732339549220864,0,251
833722901757046785,22585,3636
833479644947025920,16258,2357
833124694597443584,22133,5513
832998151111966721,14549,2522
832769181346996225,0,43
832757312314028032,18423,4127
832682457690300417,13017,3368
832645525019123713,3195,594
832636094638288896,17379,3220
832397543355072512,13126,2548
832369877331693569,18792,3652
832273440279240704,12385,2673
832215909146226688,0,7069
832215726631055365,0,10723
832088576586297345,72,3
832040443403784192,0,11131
832032802820481025,13887,4746
831939777352105988,26404,7031
831926988323639298,369,39
831911600680497154,30380,7458
831670449226514432,11469,2059
831650051525054464,7908,2243
831552930092285952,9872,2632
831322785565769729,10042,1744
831315979191906304,7117,1264
831309418084069378,12819,2786
831262627380748289,13066,2350
830956169170665475,8735,1735
830583320585068544,73397,19297
830173239259324417,0,6554
830097400375152640,10804,3455
829878982036299777,0,5757
829861396166877184,13441,2243
829501995190984704,34913,12224
829449946868879360,11519,2329
829374341691346946,38074,10706
829141528400556032,26952,8530
829011960981237760,58302,18627
828801551087042563,0,3901
828770345708580865,28085,6746
828708714936930305,40241,12882
828650029636317184,10467,1544
828409743546925057,6898,1305
828408677031882754,8398,1477
828381636999917570,13864,2554
828376505180889089,8112,1216
828372645993398273,13756,3344
828361771580813312,2408,195
828046555563323392,12923,3260
828011680017821696,11411,2451
827933404142436356,22180,5987
827653905312006145,16983,3433
827600520311402496,8143,1082
827324948884643840,17523,3510
827228250799742977,0,13517
827199976799354881,11659,2579
826958653328592898,23767,5757
826848821049180160,40325,11878
826615380357632002,0,4521
826598799820865537,5637,292
826598365270007810,11117,2709
826476773533745153,20275,4821
826240494070030336,14614,2965
826204788643753985,5361,1075
826115272272650244,17299,3599
825876512159186944,11525,2146
825829644528148480,14025,2848
825535076884762624,56413,19669
825147591692263424,20181,5244
825120256414846976,0,1483
825026590719483904,7020,1483
824796380199809024,0,6288
824775126675836928,16508,4069
824663926340194305,11113,1993
824325613288833024,12999,11848
824297048279236611,16625,4463
824025158776213504,5255,679
823939628516474880,11755,3123
823719002937630720,0,12953
823699002998870016,13826,2772
823581115634085888,14376,3031
823333489516937216,777,31
823322678127919110,17437,4637
823269594223824897,0,11421
822975315408461824,19139,3958
822872901745569793,132810,48265
822859134160621569,14576,2622
822647212903690241,0,7390
822610361945911296,16327,3423
822489057087389700,20083,7390
822462944365645825,31800,17209
822244816520155136,38832,11421
822163064745328640,0,5571
821886076407029760,12582,2692
821813639212650496,0,3839
821765923262631936,9317,1899
821522889702862852,8871,2030
821421320206483457,0,6470
821407182352777218,13075,5053
821153421864615936,280,10
821149554670182400,9718,2320
821107785811234820,10645,2487
821044531881721856,14021,2636
820837357901512704,0,7733
820749716845686786,34984,11525
820690176645140481,13518,3716
820494788566847489,0,648
820446719150292993,0,2980
820314633777061888,3706,648
820078625395449857,21979,7246
820013781606658049,0,1369
819952236453363712,5927,1369
819924195358416896,14305,5607
819711362133872643,14916,3604
819588359383371776,10606,2271
819347104292290561,8008,1383
819238181065359361,2550,462
819227688460238848,25652,7733
819015337530290176,0,42228
819015331746349057,0,21794
819006400881917954,49960,21794
819004803107983360,95450,42228
818646164899774465,0,24069
818627210458333184,24597,8564
818614493328580609,10971,2982
818588835076603904,0,7126
818536468981415936,12127,2873
818307523543449600,0,9366
818259473185828864,12197,2621
818145370475810820,13671,3014
817908911860748288,5356,906
817827839487737858,57622,31314
817777686764523521,11901,3084
817536400337801217,13105,3505
817502432452313088,0,3917
817423860136083457,38260,17504
817415592588222464,6267,1131
817181837579653120,0,9907
817171292965273600,9690,2326
817120970343411712,13367,3011
817056546584727552,9517,1927
